nom,secteur,priorite,url_carrieres,ats,ats_tenant,compte_cree,candidatures_mois,actif
Randstad France,RH & Staffing,1,https://apply.workable.com/randstad,workable,randstad,non,0,oui
Adecco France,RH & Staffing,1,https://adecco.recruitee.com,recruitee,adecco,non,0,oui
ManpowerGroup France,RH & Staffing,1,https://apply.workable.com/manpowergroup,workable,manpowergroup,non,0,oui
Hays France,RH & Staffing,1,https://apply.workable.com/hays,workable,hays,non,0,oui
PageGroup France,RH & Staffing,1,https://apply.workable.com/pagegroup,workable,pagegroup,non,0,oui
Michael Page France,RH & Staffing,1,https://apply.workable.com/michaelpage,workable,michaelpage,non,0,oui
Robert Half France,RH & Staffing,1,https://roberthalf.wd1.myworkdayjobs.com/RoberthalfCareers,workday,roberthalf,non,0,oui
Gi Group France,RH & Staffing,1,https://apply.workable.com/gi,workable,gi,non,0,oui
Synergie,RH & Staffing,1,https://apply.workable.com/synergie,workable,synergie,non,0,oui
Proman,RH & Staffing,1,,,,non,0,oui
Crit Group,RH & Staffing,1,,,,non,0,oui
Actual Group,RH & Staffing,1,https://apply.workable.com/actual,workable,actual,non,0,oui
Expectra,RH & Staffing,1,https://apply.workable.com/expectra,workable,expectra,non,0,oui
Kelly Services France,RH & Staffing,1,https://apply.workable.com/kellyservices,workable,kellyservices,non,0,oui
Fed Group,RH & Staffing,1,,,,non,0,oui
Lincoln,RH & Staffing,1,https://job-boards.greenhouse.io/lincoln,greenhouse,lincoln,non,0,oui
Walters People,RH & Staffing,1,,,,non,0,oui
Robert Walters France,RH & Staffing,1,,,,non,0,oui
ADP France,HR Tech & Paie,1,,,,non,0,oui
Cegid,HR Tech & Paie,1,https://jobs.smartrecruiters.com/cegid,smartrecruiters,cegid,non,0,oui
SD Worx France,HR Tech & Paie,1,,,,non,0,oui
Workday France,HR Tech & Paie,1,https://workday.wd5.myworkdayjobs.com/workday,workday,workday,non,0,oui
Cornerstone OnDemand France,HR Tech & Paie,1,,,,non,0,oui
Silae,HR Tech & Paie,1,https://www.silae.fr,teamtailor,silae-career,non,0,oui
Lucca,HR Tech & Paie,1,,,,non,0,oui
PayFit,HR Tech & Paie,1,https://careers.payfit.com/,teamtailor,www,non,0,oui
Sopra HR Software,HR Tech & Paie,1,https://www.soprahr.com/nous-connaitre/carrieres,smartrecruiters,soprasteria1,non,0,oui
Talentsoft,HR Tech & Paie,1,,,,non,0,oui
Eurecia,HR Tech & Paie,1,https://www.eurecia.com/emplois,teamtailor,eurecia-1729845435,non,0,oui
Cegos,Formation & EdTech,1,,,,non,0,oui
Demos,Formation & EdTech,1,,,,non,0,oui
